emotion,food
worry,rice and chicken
anger,"chicken and biscuits, beef soup, baked beans"
sadness,"mac and cheese, pizza, tacos"
fun,"Beef stroganoff, tacos, pizza"
love,"Pasta, chicken tender, pizza"
fun,"Fries, plaintain & fried fish"
boredom,"grilled chicken, hamburgers"
relief,"chicken, cheesey potatoes, and hot dogs"
boredom,"Shrimp, spaghetti"
anger,"Pasta, Eggs, Pancakes"
boredom,Chicken
sadness,Scalloped potatoes and ham
empty,"Pizza, chicken wings, and corn on the cob"
relief,"steak, lasagna, crab"
happiness,Pizza
boredom,pizza
stress,"Curry, Stew Chicken and Saltfish"
boredom,"chicken fingers, steak, mac and cheese"
stress,Chicken
boredom,manacotti
happiness,"pizza, chicken fingers"
boredom,Pasta
sadness,pasta
stress,Chicken Nuggets
worry,Spaghetti
fun,"Chicken parm, beef stroganof, tacos"
surprise,"Chicken Parm, Pizza"
Boredom,Steak
boredom,"Deer Steak, Buttered Pasta, Garlic Pasta"
neutral,"Crab legs, Mushroom soup, homemade rolls"
stress,"french fries, waffles, chocolate"
boredom,chicken and biscuits
boredom,"Spaghetti, Chicken, Won Tons"
worry,"Chicken Nuggets, Mac and Cheese, and pasta"
neutral,"hamburgers, chicken nuggets"
worry,"chicken, pasta, stir fry"
boredom,"pizza, pasta, grilled cheese"
worry,Pasta
fun,chicken parmesan
neutral,Chicken and steak
sad,"pizza, ice cream. pop tarts"
empty,Mac cheese
sad,"French Toast, Grilled Cheese, Orange Chicken"
empty,"pickles, chinese food, pizza"
worry,"Mac and Cheese, Hot Dogs, Grilled Cheese"
boredom,"Hamloaf, tuna fish salad, mac and cheese"
happiness,"chicken soup, perogies, & roast beef"
happiness,"lasagna, meatloaf, pizza"
relief,"Tacos, Spaghetti, and Roast"
love,"mac and cheease, mashed potatoes, salmon"
surprise,Pizza
worry,Steak
happiness,"Grilled chicken, pasta, and turkey"
happiness,"Chicken, Pizza, Cherry tomatoes"
enthusiasm,Chicken Alfredo
relief,steak and cheesy potatoes
neutral,Meatloaf
neutral,Pizza pasta and quesadillas
sad,Steak
surprise,Mac and cheese
sad,lasagna
worry,Chocolate
boredom,"Pizza, Pasta, Chicken"
sad,"chicken tenders, pasta, mac&cheese"
happiness,"chicken stir fry, spaghetti, chicken parmesan"
boredom,"Mac and Cheese, Chicken nuggets"
sad,Mac and cheese
boredom,"Mac&Cheese, Chicken Nuggets"
sad,"Pasta, pizza, meatballs"
enthusiasm,"Steak, Garlic and butter noodles, schnitzle"
surprise,Pizza and Spaghetti
surprise,Spaghetti
happiness,Pizza Mac n Cheese Pasta
enthusiasm,Pizza
happiness,kili parotta
sad,"salad, chicken, pizza"
boredom,"pizza, mashed potatoes, chocolate chip cookies"
neutral,Pizza and wings
stress,"tacos, pizza, chicken wing dip"
boredom,Sloppy joes
happiness,"Spaghetti and Meatballs, Steak, and Burgers"
enthusiasm,"chicken fingers, pasta, pizza"
boredom,spaghetti and tacos
sadness,Spaghetti or chicken panini sandwich
empty,Spaghetti and Pop-tarts
worry,"Pasta, breakfast for dinner, pizza"
sadness,"peanut butter and jelly, celery and peanut butter, hot pockets"
sadness,pizza
None,"Quesadilla, chocolate, steak"
empty,"Jollof Rice, Bread, pasta"
boredom,"Chinese food, pizza, chicken adobo"
worry,"Pasta, chicken, pizza"
worry,"Steak, Chicken Tenders, Pizza"
sadness,"Spaghetti, Italian potato soup"
relief,"steak, spaghetti, salmon"
boredom,Macaroni and Cheese
fun,Pizza
boredom,"Chicken Parm, Spaghetti, and Grilled Cheese"
neutral,"Chicken parmigiana, wedding soup, pasta"
worry,"chicken, macaroni & cheese, cheesy potatoes"
enthusiasm,"Spaghetti, Tuna noodle casserole, Italian sausage"
boredom,"chicken nuggets, macaroni and cheese"
sadness,Pizza
neutral,Tortellini and Broccoli with parmesan cheese and homemade breaded chicken with sweet potato
boredom,"Chicken Marsala, Manicotti, Mashed Potatoes"
empty,"hot dogs, chicken fingers, mashed potatoes"
sadness,"Chicken Biryani, Dad's burgers, Chicken curry"
surprise,dino chicken nuggets
neutral,Spaghetti and chicken parm
fun,Chicken parm.
sadness,Spaghetti
boredom,"Pizza, Pita, Lasagna"
happiness,"Mac & Cheese, Chicken, Stir Fry"
sadness,Mac and Cheese
happiness,"Dumplings, Chicken Curry and Pizza"
hate,"Pasta, Pizza, Popcorn"
relief,"Fry Chicken, Rice Vegetable"
love,"Noodle, Wings, and Tiramisu"
boredom,Chinese
happiness,"pizza, burger, pasta"
boredom,Stromboli Mac and Cheese and Pizza
sadness,"Isombe , Plantains and Ugali"
sadness,Rice and potato
happiness,pizza and spaghetti
enthusiasm,"rice, beans, and chicken / pizza/ tenders"
boredom,"peanut butter and jelly, celery and peanut butter, hot pockets"
boredom,Spaghetti or chicken panini sandwich
boredom,"chicken fingers, pasta, pizza"
sadness,"chicken fingers, pasta, pizza"